Genotype,Soil type,Block(1-16),Clade,Soil_inoculation,Sample_ID,Iteration,Selection,Plate Positon,Plate,Belowground,Tuber_Mass,Aboveground,Total,DNA Extract,Plate_DNA,Slot_DNA,DNA_conc,i5_adaptor_16S,i7_adaptor_16S,Notes
Ranger,Winterfell,R2,M,R2_10,R2_10,4,N,C10,2,0.03,20.35,1.78,22.16,,GH_2018_Box_1,E10,,,,
Snowden,Hancock,S1,M,S1_8,S1_1,4,P,,,0.24,36.54,3.74,40.52,,GH_2018_Box_1,E11,,,,
Snowden,Hancock,S1,M,S1_10,S1_9,4,N,,,0.19,26.2,2.67,29.06,,GH_2018_Box_1,E12,,,,
Snowden,Winterfell,S2,M,S2_7,S2_7,4,P,,,0.24,43.57,2.74,46.55,,GH_2018_Box_1,F1,,,,
Snowden,Winterfell,S2,M,S2_4,S2_10,4,N,,,0.06,18.87,2.5,21.43,,GH_2018_Box_1,F2,,,,
Wac 5,Hancock,W1,A,W1_8,W1_4,4,N,d4,1,0.61,7.35,3.75,11.71,,GH_2018_Box_1,F3,,,,
Wac 5,Hancock,W1,A,W1_5,W1_8,4,P,d8,1,0.73,35.66,4.85,41.24,,GH_2018_Box_1,F4,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_1,4,N,E1,2,0.54,1.48,4.2,6.22,,GH_2018_Box_1,F5,,,,
Wac 5,Winterfell,W2,A,W2_7,W2_10,4,P,E10,2,0.64,0.23,2.75,3.62,,GH_2018_Box_1,F6,,,,
Wac 663,Hancock,WA1,A,WA1_2,WA1_6,4,P,B6,1,0.36,16.23,5.1,21.69,,GH_2018_Box_1,F7,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_10,4,N,B10,1,0.15,0,3.24,3.39,,GH_2018_Box_1,F8,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_2,4,P,B2,2,0.23,10.98,2.19,13.4,,GH_2018_Box_1,F9,,,,
Wac 663,Winterfell,WA2,A,WA2_3,WA2_8,4,N,B8,2,0.04,0,2.58,2.62,,GH_2018_Box_1,F10,,,,
Burbank,Hancock,B1,M,B1_7,B1_1,1,N,Tube,,,22.42,3.73,26.15,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_2,2,P,Tube,,1.59,51.37,7.13,60.09,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_3,3,P,Tube,,1.25,35.21,8.47,44.93,,,,,,,
Burbank,Hancock,B1,M,B1_7,B1_4,4,N,Tube,,0.67,41.57,5.49,47.73,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_5,5,P,Tube,,0.97,,10.73,11.7,,,,,,,
Burbank,Hancock,B1,M,B1_7,B1_6,6,N,Tube,,0.68,47.39,3.55,51.62,,,,,,,
Burbank,Hancock,B1,M,B1_2,B1_7,7,P,Tube,,0.99,47.25,4.95,53.19,,,,,,,
Burbank,Sterile,B1,M,none,B1_8,8,S,Tube,,0.6,47.71,5.28,53.59,,,,,,,
Burbank,Hancock,B1,M,B1_7,B1_9,9,N,Tube,,0.78,22.91,5.32,29.01,,,,,,,
Burbank,Sterile,B1,M,none,B1_10,10,S,Tube,,0.35,42.5,4.6,47.45,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_1,1,N,,,0.55,44.37,4.31,49.23,,,,,,,
Burbank,Sterile,B2,M,none,B2_2,2,S,,,0.36,,3.07,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_3,3,P,,,0.11,,1.88,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_4,4,P,,,0.28,,3.97,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_5,5,P,,,0.93,,3.77,0,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_6,6,N,,,0.58,52.86,4.85,58.29,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_7,7,N,,,1.07,,4.62,0,,,,,,,
Burbank,Sterile,B2,M,none,B2_8,8,S,,,0.71,,2.5,0,,,,,,,
Burbank,Winterfell,B2,M,B2_4,B2_9,9,N,,,0.51,,4.6,0,,,,,,,
Burbank,Winterfell,B2,M,B2_5,B2_10,10,P,,,1.21,,3.8,0,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_1,1,N,G1,1,1.31,0,13.69,15,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_2,2,P,G2,1,3.28,0,9.03,12.31,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_3,3,N,G3,1,2.03,0,9.12,11.15,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_4,4,N,G4,1,2.22,3.68,8.81,14.71,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_5,CC1_5,5,N,G5,1,2.12,0,9.1,11.22,,,,,,,
Cor.C 95,Sterile,CC1,C,none,CC1_6,6,S,G6,1,1.53,16.38,5.97,23.88,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_7,7,P,G7,1,1.44,0.03,5.87,7.34,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_8,8,P,G8,1,2.18,7.41,8.11,17.7,,,,,,,
Cor.C 95,Hancock,CC1,C,CC1_4,CC1_9,9,P,G9,1,2.42,0,10.73,13.15,,,,,,,
Cor.C 95,Sterile,CC1,C,none,CC1_10,10,S,G10,1,NA,NA,NA,0,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_1,1,P,C1,1,2.39,0,10.18,12.57,,,,,,,
Cor.C 95,Sterile,CC2,C,none,CC2_2,2,S,C2,1,1.66,17.5,7.48,26.64,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_3,3,N,C3,1,1.61,0,10.12,11.73,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_4,4,P,C4,1,1.57,0,10.13,11.7,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_5,5,P,C5,1,1.04,0.03,6.12,7.19,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_6,6,N,C6,1,1.06,16.42,5.76,23.24,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_2,CC2_7,7,P,C7,1,1.05,4.42,4.38,9.85,,,,,,,
Cor.C 95,Sterile,CC2,C,none,CC2_8,8,S,C8,1,1.3,8.83,3.82,13.95,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_9,9,N,C9,1,1.68,0,7.97,9.65,,,,,,,
Cor.C 95,Winterfell,CC2,C,CC2_4,CC2_10,10,N,C10,1,1.28,0,6.74,8.02,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_1,1,N,D1,1,1.11,31.27,3.64,36.02,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_2,2,P,D2,1,2.75,38.17,12.17,53.09,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_3,3,P,D3,1,1.53,36.56,12.21,50.3,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_4,4,S,D4,1,0.89,55.92,,56.81,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_5,5,P,D5,1,1.79,37.64,6.01,45.44,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_6,6,N,D6,1,0.77,52.24,8.41,61.42,,,,,,,
G.Chili,Sterile,GC1,C,none,GC1_7,7,S,D7,1,0.63,47.9,3,51.53,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_8,8,N,D8,1,1,65.25,6.25,72.5,,,,,,,
G.Chili,Hancock,GC1,C,GC1_7,GC1_9,9,P,D9,1,1.9,38.05,12.3,52.25,,,,,,,
G.Chili,Hancock,GC1,C,GC1_10,GC1_10,10,N,D10,1,2.87,21.66,14.97,39.5,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_1,1,P,D1,2,0.71,38.62,4.21,43.54,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_2,2,S,D2,2,0.37,44.25,2.87,47.49,,,,,,,
G.Chili,Sterile,GC2,C,none,GC2_3,3,S,D3,2,0.6,47.99,4.23,52.82,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_4,4,N,D4,2,0.75,29.69,6.41,36.85,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_5,5,P,D5,2,0.6,40.46,3.34,44.4,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_6,6,N,D6,2,0.58,46.77,3.79,51.14,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_7,7,P,D7,2,0.64,27.67,1.72,30.03,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_8,8,N,D8,2,0.7,47.43,5.33,53.46,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_7,GC2_9,9,P,D9,2,0.7,25.39,2.7,28.79,,,,,,,
G.Chili,Winterfell,GC2,C,GC2_2,GC2_10,10,N,D10,2,0.68,32.51,3.72,36.91,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_1,1,P,B1,1,1.02,22.84,7.36,31.22,,,,,,,
Huagalina,Sterile,H1,A,none,H1_2,2,S,B2,1,1.38,24.98,4.92,31.28,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_3,3,N,B3,1,0.34,12.75,2.99,16.08,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_4,4,P,B4,1,1.01,21.54,4.72,27.27,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_5,5,N,B5,1,0.75,17.79,4.73,23.27,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_6,6,P,B6,1,0.53,13.41,3.12,17.06,,,,,,,
Huagalina,Hancock,H1,A,H1_5,H1_7,7,P,B7,1,0.39,13.59,3.07,17.05,,,,,,,
Huagalina,Sterile,H1,A,none,H1_8,8,S,B8,1,0.86,24.9,3.78,29.54,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_9,9,N,B9,1,0.27,21.39,3.71,25.37,,,,,,,
Huagalina,Hancock,H1,A,H1_7,H1_10,10,N,B10,1,0.52,17.53,4.55,22.6,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_1,1,N,C1,2,1.27,21.21,2.76,25.24,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_2,2,N,C2,2,0.99,29.59,4.71,35.29,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_3,3,P,C3,2,0.67,25.19,4.62,30.48,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_4,4,N,C4,2,0.4,20.64,3.47,24.51,,,,,,,
Huagalina,Sterile,H2,A,none,H2_5,5,S,C5,2,1,32.09,4.7,37.79,,,,,,,
Huagalina,Winterfell,H2,A,H2_7,H2_6,6,N,C6,2,0.96,18.12,3.86,22.94,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_7,7,P,C7,2,NA,NA,NA,0,,,,,,,
Huagalina,Sterile,H2,A,none,H2_8,8,S,C8,2,0.45,18.2,2.89,21.54,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_9,9,P,C9,2,1.06,26.15,5.38,32.59,,,,,,,
Huagalina,Winterfell,H2,A,H2_1,H2_10,10,P,C10,2,0.94,34.24,7.22,42.4,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_1,1,P,A1,2,1.06,21.64,6.94,29.64,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_2,2,P,A2,2,0.9,35.31,4.78,40.99,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_3,3,S,A3,2,1.14,38.01,6.66,45.81,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_4,4,N,A4,2,2.14,50.14,10.43,62.71,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_5,5,P,A5,2,2.08,46.89,6.64,55.61,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_7,PC1_6,6,P,A6,2,0.69,37.72,4.51,42.92,,,,,,,
Papa Cacho,Sterile,PC1,C,none,PC1_7,7,S,A7,2,2.04,52.04,5.83,59.91,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_8,8,N,A8,2,1.06,29.93,5.56,36.55,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_9,9,N,A9,2,1.35,25.31,5.27,31.93,,,,,,,
Papa Cacho,Hancock,PC1,C,PC1_5,PC1_10,10,N,A10,2,1.81,45.87,5.66,53.34,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_1,1,N,B1,2,3.57,43.47,12.16,59.2,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_2,2,N,B2,2,1.15,44.15,8.81,54.11,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_3,3,S,B3,2,1.36,43.3,8.62,53.28,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_4,4,P,B4,2,1.31,37.71,6.11,45.13,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_5,5,N,B5,2,1.75,31.38,9.67,42.8,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_6,6,P,B6,2,1.2,37.52,5.96,44.68,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_8,PC2_7,7,N,B7,2,1.51,40.07,5.88,47.46,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_8,8,P,B8,2,1.28,33.69,10.12,45.09,,,,,,,
Papa Cacho,Sterile,PC2,C,none,PC2_9,9,S,B9,2,0.73,21.08,3.63,25.44,,,,,,,
Papa Cacho,Winterfell,PC2,C,PC2_7,PC2_10,10,P,B10,2,1.62,27.02,9.3,37.94,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_1,1,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_2,2,P,Tube,,0.17,34.65,3.08,37.9,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_3,3,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_4,4,N,Tube,,0.71,21.91,6.51,29.13,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_5,5,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_4,R1_6,6,,Tube,,,,,,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_7,7,P,Tube,,0.4,38.8,3.3,42.5,,,,,,,
Ranger,Sterile,R1,M,none,R1_8,8,S,Tube,,0.27,28.33,2.32,30.92,,,,,,,
Ranger,Hancock,R1,M,R1_10,R1_9,9,,Tube,,,,,,,,,,,,
Ranger,Sterile,R1,M,none,R1_10,10,S,Tube,,0.17,35.39,2.97,38.53,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_1,1,,Tube,,,,,,,,,,,,
Ranger,Sterile,R2,M,none,R2_2,2,S,Tube,,0.44,43.35,3.2,46.99,,,,,,,
Ranger,Sterile,R2,M,none,R2_3,3,S,Tube,,0.36,40.72,3.93,45.01,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_4,4,,Tube,,,,,,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_5,5,N,Tube,,0.44,57.71,3.92,62.07,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_6,6,N,Tube,,0.49,37.93,3.72,42.14,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_7,7,P,Tube,,0.56,35.2,3.84,39.6,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_8,8,P,Tube,,0.22,29.64,4.01,33.87,,,,,,,
Ranger,Winterfell,R2,M,R2_8,R2_9,9,,Tube,,,,,0,,,,,,,
Ranger,Winterfell,R2,M,R2_10,R2_10,10,,Tube,,,,,0,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_1,1,P,Tube,,1.57,61.91,7.05,70.53,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_2,2,P,Tube,,1.65,60.44,8.12,70.21,,,,,,,
Snowden,Sterile,S1,M,none,S1_3,3,S,Tube,,1.2,62.37,5.68,69.25,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_4,4,,Tube,,,,,0,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_5,5,N,Tube,,0.9,58.6,6.1,65.6,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_6,6,N,Tube,,,47.58,5.19,52.77,,,,,,,
Snowden,Sterile,S1,M,none,S1_7,7,S,Tube,,0.56,49.74,3.22,53.52,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_8,8,P,Tube,,1.22,53.73,6.39,61.34,,,,,,,
Snowden,Hancock,S1,M,S1_6,S1_9,9,P,Tube,,2.2,54.59,9.03,65.82,,,,,,,
Snowden,Hancock,S1,M,S1_9,S1_10,10,S,Tube,,1.8,26.81,8.34,36.95,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_1,1,P,Tube,,1.65,13.92,2.88,18.45,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_2,2,P,Tube,,1.07,36.6,1.6,39.27,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_3,3,N,Tube,,0.89,48.35,4.25,53.49,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_4,4,P,Tube,,0.9,40.74,3.35,44.99,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_5,5,N,Tube,,1.23,45.31,4.77,51.31,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_6,6,N,Tube,,0.87,41.19,2.63,44.69,,,,,,,
Snowden,Winterfell,S2,M,S2_7,S2_7,7,P,Tube,,2.08,34.38,4.09,40.55,,,,,,,
Snowden,Winterfell,S2,M,S2_10,S2_8,8,N,Tube,,0.88,43.64,4.33,48.85,,,,,,,
Snowden,Sterile,S2,M,none,S2_9,9,S,Tube,,0.47,40.34,3.31,44.12,,,,,,,
Snowden,Sterile,S2,M,none,S2_10,10,S,Tube,,1.03,28.01,3,32.04,,,,,,,
Wac 5,Sterile,W1,A,none,W1_1,1,S,A1,1,0.82,30.78,5.11,36.71,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_2,2,P,A2,1,0.5,36.17,4.99,41.66,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_3,3,P,A3,1,0.25,27.92,3.03,31.2,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_4,4,N,A4,1,,,,0,,,,,,,
Wac 5,Sterile,W1,A,none,W1_5,5,S,A5,1,,,,0,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_6,6,N,A6,1,0.82,24.65,4.36,29.83,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_7,7,N,A7,1,0.55,16.08,4.8,21.43,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_8,8,P,A8,1,0.25,11.39,1.97,13.61,,,,,,,
Wac 5,Hancock,W1,A,W1_4,W1_9,9,N,A9,1,,,,0,,,,,,,
Wac 5,Hancock,W1,A,W1_8,W1_10,10,P,A10,1,,,,0,,,,,,,
Wac 5,Sterile,W2,A,none,W2_1,1,S,E1,1,0.5,29.94,2.53,32.97,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_2,2,P,E2,1,0.61,20.69,2.95,24.25,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_3,3,N,E3,1,0.79,20.42,3.85,25.06,,,,,,,
Wac 5,Sterile,W2,A,none,W2_4,4,S,E4,1,NA,NA,NA,0,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_5,5,P,E5,1,0.27,17.57,2.41,20.25,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_6,6,N,E6,1,0.6,17.95,2.51,21.06,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_7,7,P,E7,1,0.76,19.93,2.71,23.4,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_8,8,N,E8,1,0.53,25.45,3.02,29,,,,,,,
Wac 5,Winterfell,W2,A,W2_1,W2_9,9,N,E9,1,0.31,19.37,3.05,22.73,,,,,,,
Wac 5,Winterfell,W2,A,W2_10,W2_10,10,P,E10,1,NA,NA,NA,0,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_1,1,P,H1,1,0.74,20,4.94,25.68,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_2,2,N,H2,1,0.62,17.37,4.32,22.31,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_3,3,N,H3,1,0.27,8.72,3.39,12.38,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_4,4,N,H4,1,0.31,17.13,3.82,21.26,,,,,,,
Wac 663,Sterile,WA1,A,none,WA1_5,5,S,H5,1,0.18,7.38,2.4,9.96,,,,,,,
Wac 663,Hancock,WA1,A,WA1_10,WA1_6,6,N,H6,1,0.6,5.61,2.76,8.97,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_7,7,P,H7,1,0.37,6.86,2.74,9.97,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_8,8,P,H8,1,0.23,13.35,2,15.58,,,,,,,
Wac 663,Sterile,WA1,A,none,WA1_9,9,S,H9,1,0.19,4.53,3.49,8.21,,,,,,,
Wac 663,Hancock,WA1,A,WA1_6,WA1_10,10,P,H10,1,0.34,7.53,3.32,11.19,,,,,,,
Wac 663,Sterile,WA2,A,none,WA2_1,1,S,F1,1,0.5,4.79,7.45,12.74,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_2,2,N,F2,1,0.32,0,4,4.32,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_3,3,P,F3,1,0.28,11.02,3.5,14.8,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_4,4,P,F4,1,0.29,6.48,3.45,10.22,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_5,5,N,F5,1,0.26,12.24,3.52,16.02,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_6,6,N,F6,1,0.18,5.52,7.76,13.46,,,,,,,
Wac 663,Sterile,WA2,A,none,WA2_7,7,S,F7,1,0.42,8.14,5.94,14.5,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_8,8,P,F8,1,,,2.13,2.13,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_8,WA2_9,9,N,F9,1,,,,0,,,,,,,
Wac 663,Winterfell,WA2,A,WA2_2,WA2_10,10,P,F10,1,0.29,2.07,3.58,5.94,,,,,,,